Offense,Category,Year,Time of Day,Occurred DateTime,Report DateTime,Location Type,Census Block Group,Latitude,Longitude,APD Sector,APD District,Council District
BURGLARY OF VEHICLE,theft,2004,Evening,2004-03-17 17:56:00,2004-03-17 17:57:00,PARKING /DROP LOT/ GARAGE,4530023143.0,30.2287064,-97.7233906,Henry,4,3
THEFT,theft,2014,Afternoon,2014-01-02 15:02:00,2014-01-02 15:02:00,RESIDENCE / HOME,4530024133.0,30.1900923,-97.7430498,Frank,5,2
DWI,traffic,2022,Night,2022-03-25 02:57:00,2022-03-25 05:09:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530433001.0,30.3339028,-97.6977217,Ida,1,4
THEFT CATALYTIC CONVERTER,theft,2023,Night,2023-01-06 22:00:00,2023-01-09 10:19:00,PARKING /DROP LOT/ GARAGE,4530009012.0,30.2664785,-97.7273353,Charlie,2,1
THEFT,theft,2005,Afternoon,2005-10-03 15:00:00,2005-10-03 16:51:00,COMMERCIAL / OFFICE BUILDING,4530020032.0,30.2191547,-97.7700294,Frank,2,3
CUSTODY ARREST TRAFFIC WARR,court,2015,Night,2015-05-28 21:45:00,2015-05-28 21:45:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530021112.0,30.2532607,-97.6940465,Charlie,1,3
CRIMINAL MISCHIEF,property,2007,Morning,2007-12-17 08:00:00,2007-12-17 08:01:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530005001.0,30.2985208,-97.7378186,Baker,1,9
WARRANT ARREST NON TRAFFIC,court,2006,Night,2006-11-28 22:00:00,2006-11-28 23:11:00,RESIDENCE / HOME,4530010002.0,30.2564141,-97.7280837,Charlie,1,3
THEFT,theft,2021,Morning,2021-04-02 08:00:00,2021-04-14 16:40:00,RESIDENCE / HOME,4530348002.0,30.2014715,-97.8760185,David,7,8
FAMILY DISTURBANCE,family,2015,Evening,2015-12-02 18:28:00,2015-12-02 20:02:00,RESIDENCE / HOME,4530327001.0,30.4249217,-97.7730178,Adam,7,10
ASSAULT W/INJURY-FAM/DATE VIOL,assault,2003,Night,2003-04-07 23:37:00,2003-04-07 23:37:00,RESIDENCE / HOME,4530024102.0,30.2019092,-97.7889638,Frank,4,2
BURGLARY OF RESIDENCE,burglary,2008,Morning,2008-12-01 07:00:00,2008-12-01 13:49:00,RESIDENCE / HOME,4530403002.0,30.3513395,-97.6788215,Edward,3,4
AGG ROBBERY/DEADLY WEAPON,robbery,2017,Evening,2017-12-21 20:39:00,2017-12-21 20:39:00,DEPARTMENT / DISCOUNT STORE,4530021082.0,30.3061369,-97.6639016,Charlie,4,1
POSSESSION OF MARIJUANA,drugs,2003,Afternoon,2003-05-18 16:55:00,2003-05-18 16:55:00,RESIDENCE / HOME,4530024133.0,30.1900923,-97.7430498,Frank,5,2
TERRORISTIC THREAT,terrorism,2004,Afternoon,2004-04-04 16:00:00,2004-05-06 09:26:00,OTHER / UNKNOWN,4530007001.0,30.2777004,-97.7411232,Baker,2,9
VOCO - ALCOHOL  CONSUMPTION,drugs,2010,Afternoon,2010-11-14 14:10:00,2010-11-14 14:10:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530023043.0,30.2416695,-97.7204469,Henry,2,3
BURGLARY OF VEHICLE,theft,2005,Night,2005-09-27 23:00:00,2005-09-28 10:08:00,RESIDENCE / HOME,4530013122.0,30.2452677,-97.7539204,David,1,9
BURGLARY OF VEHICLE,theft,2010,Evening,2010-02-01 19:30:00,2010-02-04 18:27:00,COMMERCIAL / OFFICE BUILDING,4530021054.0,30.3169564,-97.7053727,Ida,5,4
BURGLARY OF COIN-OP MACHINE,theft,2015,Night,2015-05-26 23:25:00,2015-05-26 23:25:00,PARKING /DROP LOT/ GARAGE,4530407002.0,30.3727881,-97.7199207,Ida,7,4
BURGLARY OF VEHICLE,theft,2009,Afternoon,2009-02-07 12:00:00,2009-04-16 15:19:00,COMMERCIAL / OFFICE BUILDING,4530454003.0,30.3859032,-97.7260439,Adam,1,7
BURGLARY NON RESIDENCE,burglary,2009,Night,2009-11-10 03:00:00,2009-11-10 08:34:00,COMMERCIAL / OFFICE BUILDING,4530003021.0,30.299731,-97.7195388,Baker,5,9
BURGLARY OF VEHICLE,theft,2005,Evening,2005-09-22 18:00:00,2005-09-23 08:12:00,RESIDENCE / HOME,4530312005.0,30.2141459,-97.859301,David,7,8
FAMILY DISTURBANCE,family,2017,Night,2017-08-01 23:19:00,2017-08-01 23:19:00,RESIDENCE / HOME,4530409001.0,30.3695822,-97.6977911,Edward,1,4
GRAFFITI,nuisance,2008,Afternoon,2008-10-22 13:50:00,2008-10-22 13:50:00,OTHER / UNKNOWN,4530010005.0,30.253259,-97.7333118,Charlie,1,3
INDECENCY WITH A CHILD/CONTACT,sexual,2017,Night,2017-05-15 21:30:00,2017-05-17 04:35:00,RESIDENCE / HOME,4530416004.0,30.3547647,-97.675545,Edward,7,4
HARASSMENT,abuse,2011,Morning,2011-04-21 07:45:00,2011-04-27 23:51:00,RESIDENCE / HOME,4539800001.0,30.1946633,-97.666661,Henry,8,2
VIOL OF PARK CURFEW,disturbance,2004,Night,2004-08-25 22:59:00,2004-08-25 22:59:00,GOVERNMENT / PUBLIC BUILDING,4530414001.0,30.4140479,-97.7128669,Adam,3,7
THEFT CATALYTIC CONVERTER,theft,2021,Night,2021-10-29 02:31:00,2021-10-29 10:25:00,PARKING /DROP LOT/ GARAGE,4530024521.0,30.2021528,-97.6276635,Henry,8,2
BURGLARY OF VEHICLE,theft,2023,Afternoon,2023-02-18 14:00:00,2024-02-18 22:00:00,PARK / PLAYGROUND,4530019113.0,30.2658389,-97.7751242,David,1,8
BURGLARY OF RESIDENCE,burglary,2022,Night,2022-02-21 22:30:00,2022-02-23 14:46:00,RESIDENCE / HOME,4530003041.0,30.3082259,-97.714499,Baker,5,9
BURGLARY OF RESIDENCE,burglary,2012,Evening,2012-05-23 17:22:00,2012-05-23 17:22:00,CONSTRUCTION SITE,4530016031.0,30.3022305,-97.7517021,Baker,3,10
THEFT FROM BUILDING,theft,2016,Morning,2016-06-17 10:00:00,2016-06-18 11:12:00,RESIDENCE / HOME,4530003081.0,30.2961202,-97.6944443,Baker,4,9
THEFT,theft,2022,Morning,2022-03-12 05:00:00,2022-03-14 10:00:00,RESIDENCE / HOME,4530326001.0,30.4189267,-97.7742897,Adam,7,10
AUTO THEFT,theft,2022,Night,2022-05-03 01:12:00,2022-05-03 03:07:00,PARKING /DROP LOT/ GARAGE,4530011032.0,30.2646001,-97.7396453,George,3,9
BURGLARY OF RESIDENCE,burglary,2020,Evening,2020-02-10 20:30:00,2020-02-11 15:12:00,RESIDENCE / HOME,4530024483.0,30.1829936,-97.7262826,Frank,7,2
FAMILY DISTURBANCE,family,2025,Night,2025-01-23 23:57:00,2025-01-23 23:57:00,RESIDENCE / HOME,4530024431.0,30.203142,-97.7694308,Frank,4,3
FAMILY DISTURBANCE,family,2010,Evening,2010-01-21 19:01:00,2010-01-21 21:30:00,RESIDENCE / HOME,4530305001.0,30.3966919,-97.8043068,Adam,7,10
BURGLARY OF VEHICLE,theft,2009,Night,2009-10-25 21:00:00,2009-10-26 08:55:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530016052.0,30.2872384,-97.7593565,Baker,2,10
ASSAULT WITH INJURY,assault,2014,Night,2014-09-04 01:49:00,2014-09-04 01:49:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011022.0,30.266609,-97.7450234,George,4,9
HARASSMENT,abuse,2018,Morning,2018-07-20 08:25:00,2018-07-20 11:12:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4910204104.0,30.4463639,-97.7729773,Adam,4,6
CRIMINAL MISCHIEF,property,2007,Night,2007-08-23 02:00:00,2007-08-26 16:54:00,RESIDENCE / HOME,4530013123.0,30.2532837,-97.7582224,David,1,9
POSS CONTROLLED SUB/NARCOTIC,drugs,2014,Night,2014-01-18 00:58:00,2014-01-18 03:58:00,PARKING /DROP LOT/ GARAGE,4530015041.0,30.3455683,-97.7184735,Ida,7,7
FAMILY DISTURBANCE,family,2008,Evening,2008-10-03 19:36:00,2008-10-03 19:52:00,RESIDENCE / HOME,4530319003.0,30.1700246,-97.8332755,Frank,1,5
DWI 2ND,traffic,2017,Night,2017-05-30 02:05:00,2017-05-30 02:05:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530015012.0,30.3434565,-97.7489245,Baker,6,7
DEBIT CARD ABUSE,fraud,2016,Night,2016-07-16 00:00:00,2016-07-18 12:25:00,RESIDENCE / HOME,4530319003.0,30.1700246,-97.8332755,Frank,1,5
VIOL OF PROTECTIVE ORDER OR BOND FV/SEX CRIME/HUMAN TRAFFICKING,sexual,2005,Night,2005-10-08 00:07:00,2005-10-08 00:07:00,RESIDENCE / HOME,4530011031.0,30.2590809,-97.73992,George,3,9
FAMILY DISTURBANCE,family,2006,Morning,2006-09-16 05:10:00,2006-09-16 08:02:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530010005.0,30.253259,-97.7333118,Charlie,1,3
FAMILY DISTURBANCE/PARENTAL,family,2019,Morning,2019-10-11 11:25:00,2019-10-11 12:18:00,RESIDENCE / HOME,4530402001.0,30.3257814,-97.688573,Ida,2,1
DATING DISTURBANCE,disturbance,2024,Afternoon,2024-02-19 13:39:00,2024-02-19 13:39:00,RESIDENCE / HOME,4530019151.0,30.2405635,-97.8366971,David,6,8
BURGLARY OF VEHICLE,theft,2014,Night,2014-01-03 22:30:00,2014-01-04 08:49:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530009012.0,30.2664785,-97.7273353,Charlie,2,1
BURGLARY OF VEHICLE,theft,2020,Night,2020-03-12 03:38:00,2020-03-12 08:08:00,RESIDENCE / HOME,4530338003.0,30.427039,-97.8001999,Adam,8,6
AGG ROBBERY/DEADLY WEAPON,robbery,2021,Evening,2021-04-19 20:11:00,2021-04-19 20:11:00,SERVICE/ GAS STATION,4530020031.0,30.2192206,-97.7781233,David,3,3
VOCO - ALCOHOL  CONSUMPTION,drugs,2006,Night,2006-05-19 23:15:00,2006-05-19 23:15:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530009024.0,30.2619393,-97.7293714,Charlie,1,3
THEFT,theft,2008,Evening,2008-08-01 18:00:00,2008-08-04 13:07:00,RESIDENCE / HOME,4530019141.0,30.247825,-97.8260227,David,5,8
DISTURBANCE - OTHER,disturbance,2003,Night,2003-07-20 04:41:00,2003-07-20 04:41:00,RESIDENCE / HOME,4530023272.0,30.237592,-97.7126238,Henry,3,3
TERRORISTIC THREAT,terrorism,2003,Night,2003-05-16 02:26:00,2003-05-16 02:26:00,RESIDENCE / HOME,4530012002.0,30.2760573,-97.7550409,Baker,2,9
THEFT OF BICYCLE,theft,2022,Morning,2022-10-26 09:40:00,2022-11-17 11:00:00,RESIDENCE / HOME,4530006011.0,30.2937354,-97.7396449,Baker,1,9
MAIL THEFT,theft,2023,Night,2023-10-13 00:00:00,2023-10-13 15:56:00,RESIDENCE / HOME,,,,Adam,5,0
BURGLARY OF RESIDENCE,burglary,2013,Evening,2013-11-16 19:30:00,2013-11-17 04:26:00,RESIDENCE / HOME,4530010003.0,30.2527922,-97.716717,Charlie,1,3
BURGLARY OF VEHICLE,theft,2011,Evening,2011-12-07 20:10:00,2011-12-07 20:10:00,PARKING /DROP LOT/ GARAGE,4530324001.0,30.3907522,-97.7387405,Adam,1,7
DISTURBANCE - OTHER,disturbance,2021,Night,2021-09-25 02:52:00,2021-09-25 02:52:00,RESIDENCE / HOME,4530330001.0,30.2358706,-97.8873685,David,6,8
ASSAULT WITH INJURY,assault,2008,Night,2008-07-15 01:27:00,2008-07-15 01:27:00,RESIDENCE / HOME,4530407002.0,30.3727881,-97.7199207,Ida,7,4
AUTO THEFT,theft,2016,Morning,2016-08-10 10:13:00,2016-08-10 10:13:00,PARKING /DROP LOT/ GARAGE,4530008023.0,30.2700814,-97.7111778,Charlie,2,1
WARRANT ARREST NON TRAFFIC,court,2003,Morning,2003-11-16 10:40:00,2003-11-16 10:40:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530003021.0,30.299731,-97.7195388,Baker,3,9
FRAUD - OTHER,fraud,2013,Afternoon,2013-07-16 12:00:00,2013-07-22 17:57:00,RESIDENCE / HOME,4530023073.0,30.2190531,-97.736105,Henry,2,3
BURGLARY OF VEHICLE,theft,2003,Night,2003-09-22 01:30:00,2003-09-22 06:49:00,RESIDENCE / HOME,4530023162.0,30.2302024,-97.7277031,Henry,2,3
HARASSMENT,abuse,2015,Night,2015-03-26 00:22:00,2015-03-26 00:22:00,RESIDENCE / HOME,4530002043.0,30.3071855,-97.7445644,Baker,6,10
BURGLARY NON RESIDENCE,burglary,2019,Night,2019-05-14 04:44:00,2019-05-14 04:44:00,OTHER / UNKNOWN,4530002051.0,30.3304798,-97.7364481,Ida,7,7
BURGLARY OF VEHICLE,theft,2025,Morning,2025-01-25 10:50:00,2025-02-02 15:02:00,PARKING /DROP LOT/ GARAGE,4530016023.0,30.2844792,-97.7803279,Baker,7,10
THEFT,theft,2006,Morning,2006-04-18 07:00:00,2006-04-19 23:33:00,RESIDENCE / HOME,4530015043.0,30.3510548,-97.7281022,Ida,7,7
FAMILY DISTURBANCE,family,2013,Morning,2013-11-18 11:43:00,2013-11-18 11:43:00,PARKING /DROP LOT/ GARAGE,4530002043.0,30.3071855,-97.7445644,Baker,3,10
FAMILY DISTURBANCE,family,2013,Night,2013-02-17 22:12:00,2013-02-17 22:48:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530024382.0,30.1678619,-97.8042256,Frank,2,5
THEFT,theft,2011,Morning,2011-01-18 05:27:00,2011-01-18 05:27:00,RESIDENCE / HOME,4530021073.0,30.3007794,-97.6789798,Ida,4,1
ASSAULT W/INJURY-FAM/DATE VIOL,assault,2015,Night,2015-12-20 22:00:00,2015-12-22 00:44:00,RESIDENCE / HOME,4910205081.0,30.4820275,-97.7705807,Adam,5,6
THEFT,theft,2006,Night,2006-09-14 22:00:00,2006-09-15 13:11:00,RESIDENCE / HOME,4530008032.0,30.2771064,-97.7185926,Charlie,3,1
THEFT FROM PERSON,theft,2019,Night,2019-01-06 00:00:00,2019-01-07 10:48:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011032.0,30.2646001,-97.7396453,George,2,9
THEFT OF METAL,theft,2012,Night,2012-01-26 01:00:00,2012-01-26 08:11:00,BANK / SAVINGS & LOAN,4530312002.0,30.2208548,-97.8472216,David,7,8
FAMILY DISTURBANCE,family,2010,Night,2010-09-11 00:10:00,2010-09-11 00:10:00,RESIDENCE / HOME,4530020021.0,30.2239737,-97.783038,David,3,5
WARRANT ARREST NON TRAFFIC,court,2010,Evening,2010-07-23 17:14:00,2010-07-23 17:14:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530024431.0,30.203142,-97.7694308,David,3,3
BURGLARY OF RESIDENCE,burglary,2015,Evening,2015-06-03 17:37:00,2015-06-07 17:37:00,RESIDENCE / HOME,4530306002.0,30.3544513,-97.762789,Baker,8,10
BURGLARY OF RESIDENCE,burglary,2012,Evening,2012-07-30 18:03:00,2012-07-30 18:03:00,RESIDENCE / HOME,4530023142.0,30.2281398,-97.7203472,Henry,4,3
POSSESSION OF MARIJUANA,drugs,2006,Night,2006-07-02 01:45:00,2006-07-02 01:45:00,PARKING /DROP LOT/ GARAGE,4530020021.0,30.2239737,-97.783038,David,5,5
BURGLARY OF VEHICLE,theft,2013,Night,2013-10-25 22:00:00,2013-10-26 09:40:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530003042.0,30.3105055,-97.7192952,Ida,6,9
POSS CONTROLLED SUB/NARCOTIC,drugs,2020,Night,2020-02-12 23:36:00,2020-02-13 00:30:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530023145.0,30.2225924,-97.7123323,Henry,4,3
BURGLARY OF VEHICLE,theft,2020,Afternoon,2020-05-11 16:00:00,2020-05-12 19:49:00,RESIDENCE / HOME,4530407005.0,30.3737784,-97.7171922,Edward,2,4
BURGLARY OF VEHICLE,theft,2014,Night,2014-02-18 00:19:00,2014-02-19 07:20:00,PARKING /DROP LOT/ GARAGE,4530023162.0,30.2302024,-97.7277031,Henry,2,3
THEFT,theft,2018,Evening,2018-11-15 20:30:00,2018-11-16 11:11:00,RESTAURANT,4530003041.0,30.3082259,-97.714499,Ida,6,9
FELONY ENHANCEMENT/ASSLT W/INJ,aggravated assault,2018,Afternoon,2018-03-06 16:49:00,2018-03-06 16:49:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530410002.0,30.3644157,-97.6894706,Edward,1,4
THEFT FROM PERSON,theft,2015,Afternoon,2015-09-20 15:15:00,2015-09-20 15:27:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530023152.0,30.2327526,-97.7305795,Henry,2,3
POSS CONTROLLED SUB/NARCOTIC,drugs,2007,Night,2007-11-06 23:21:00,2007-11-06 23:21:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530003071.0,30.2970325,-97.7125652,Charlie,3,9
THEFT,theft,2012,Afternoon,2012-07-21 12:00:00,2012-09-27 13:23:00,RESIDENCE / HOME,4530023232.0,30.2333784,-97.7481133,David,2,3
FAMILY DISTURBANCE,family,2014,Evening,2014-07-31 17:47:00,2014-07-31 17:47:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530003053.0,30.3190733,-97.7256729,Ida,6,9
FAMILY DISTURBANCE,family,2022,Night,2022-03-22 23:55:00,2022-03-22 23:57:00,RESIDENCE / HOME,4530435001.0,30.3806358,-97.6485117,Edward,5,1
BURGLARY OF RESIDENCE,burglary,2005,Morning,2005-03-28 08:15:00,2005-03-28 12:58:00,RESIDENCE / HOME,4530321003.0,30.2143161,-97.8173585,David,4,5
POSSESSION OF MARIJUANA,drugs,2012,Night,2012-07-31 22:56:00,2012-07-31 22:56:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530013082.0,30.2387552,-97.7578847,David,2,3
BURGLARY OF VEHICLE,theft,2008,Morning,2008-08-04 07:00:00,2008-08-04 20:33:00,PARKING /DROP LOT/ GARAGE,4530021082.0,30.3061369,-97.6639016,Charlie,4,1
TERRORISTIC THREAT,terrorism,2004,Evening,2004-12-30 20:00:00,2004-12-31 12:45:00,RESIDENCE / HOME,4530409001.0,30.3695822,-97.6977911,Edward,1,4
HARASSMENT,abuse,2012,Night,2012-09-19 23:47:00,2012-09-19 23:47:00,PARKING /DROP LOT/ GARAGE,4530023132.0,30.2253461,-97.7324983,Henry,2,3
DISTURBANCE - OTHER,disturbance,2016,Night,2016-08-10 21:56:00,2016-08-10 21:56:00,PARKING /DROP LOT/ GARAGE,4910203113.0,30.4744834,-97.7879862,Adam,5,6
DISTURBANCE - OTHER,disturbance,2007,Evening,2007-01-16 17:00:00,2007-01-16 17:00:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530013091.0,30.2651797,-97.7605954,David,1,9
THEFT,theft,2010,Night,2010-06-24 22:55:00,2010-06-24 23:00:00,SERVICE/ GAS STATION,4530419002.0,30.3852552,-97.690599,Edward,4,7
AGG ASSAULT WITH MOTOR VEH,aggravated assault,2012,Morning,2012-07-25 10:00:00,2012-07-25 10:06:00,PARKING /DROP LOT/ GARAGE,4530013091.0,30.2651797,-97.7605954,David,1,9
INDECENCY WITH A CHILD/CONTACT,sexual,2007,Evening,2007-10-24 20:45:00,2007-10-24 20:45:00,RESIDENCE / HOME,4530023102.0,30.2423539,-97.6592003,Henry,8,2
ASSAULT WITH INJURY,assault,2013,Afternoon,2013-03-15 16:30:00,2013-03-16 03:33:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4910204062.0,30.443258,-97.7805398,Adam,4,6
ASSAULT W/INJURY-FAM/DATE VIOL,assault,2024,Night,2024-07-19 00:09:00,2024-07-19 00:09:00,RESIDENCE / HOME,4530002061.0,30.3202581,-97.7435341,Baker,6,7
BURGLARY OF VEHICLE,theft,2007,Night,2007-10-19 23:30:00,2007-10-24 17:43:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530019231.0,30.2600636,-97.7778863,David,1,5
POSS OF DRUG PARAPHERNALIA,drugs,2005,Morning,2005-09-03 10:46:00,2005-09-03 10:46:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530009024.0,30.2619393,-97.7293714,Charlie,1,3
PROTECTIVE ORDER,court,2023,Morning,2023-07-11 10:23:00,2023-07-11 10:23:00,RESIDENCE / HOME,4530324001.0,30.3907522,-97.7387405,Adam,1,7
CAMPING IN PARK,nuisance,2014,Morning,2014-08-16 11:28:00,2014-08-16 11:28:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530016023.0,30.2844792,-97.7803279,Baker,7,10
FAMILY DISTURBANCE,family,2014,Afternoon,2014-08-01 16:11:00,2014-08-01 16:44:00,RESIDENCE / HOME,4530400001.0,30.3381903,-97.7057278,Ida,8,4
UNLAWFUL CARRYING WEAPON,weapons,2023,Evening,2023-09-08 19:03:00,2023-09-08 19:03:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530023211.0,30.2340963,-97.6956408,Henry,5,3
VIOL OF BOND CONDITIONS,court,2018,Night,2018-07-06 22:57:00,2018-07-08 10:31:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530011032.0,30.2646001,-97.7396453,George,2,9
BURGLARY OF RESIDENCE,burglary,2008,Evening,2008-11-15 17:22:00,2008-11-15 17:22:00,RESIDENCE / HOME,4530367004.0,30.2007407,-97.9014425,David,8,8
POSS OF DRUG PARAPHERNALIA,drugs,2004,Night,2004-10-04 22:15:00,2004-10-04 22:15:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530009024.0,30.2619393,-97.7293714,Charlie,1,3
CHILD CUSTODY INTERFERE,family,2016,Evening,2016-06-14 18:00:00,2016-06-14 19:17:00,OTHER / UNKNOWN,4530440002.0,30.4000197,-97.6645181,Edward,6,1
BURGLARY OF RESIDENCE,burglary,2015,Morning,2015-01-20 08:00:00,2015-01-20 14:55:00,RESIDENCE / HOME,4530402001.0,30.3257814,-97.688573,Ida,2,4
GRAFFITI,nuisance,2024,Morning,2024-10-18 07:45:00,2024-11-04 10:20:00,RESIDENCE / HOME,4530327001.0,30.4249217,-97.7730178,Adam,7,10
POSSESSION OF MARIJUANA,drugs,2003,Night,2003-10-21 00:00:00,2003-10-21 00:00:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530020031.0,30.2192206,-97.7781233,David,3,3
ASSAULT BY CONTACT,assault,2019,Evening,2019-12-27 20:51:00,2019-12-27 20:51:00,RESIDENCE / HOME,4530021092.0,30.2795723,-97.6914013,Charlie,4,1
THEFT,theft,2016,Night,2016-02-24 21:18:00,2016-02-25 00:33:00,FIELD / WOODS,4910204081.0,30.4660085,-97.7869768,Adam,5,6
DOC UNREASONABLE NOISE,nuisance,2004,Night,2004-03-02 02:18:00,2004-03-02 02:18:00,RESIDENCE / HOME,4530003052.0,30.3138371,-97.7287094,Baker,5,9
DISTURBANCE - OTHER,disturbance,2014,Morning,2014-11-05 10:19:00,2014-11-05 10:19:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530009024.0,30.2619393,-97.7293714,Charlie,1,3
AUTO THEFT,theft,2012,Evening,2012-10-16 18:00:00,2012-10-23 12:28:00,COMMERCIAL / OFFICE BUILDING,4530014031.0,30.2363404,-97.7371275,Henry,1,9
HARASSMENT,abuse,2007,Morning,2007-12-11 08:21:00,2007-12-28 13:29:00,RESIDENCE / HOME,4530320001.0,30.2254932,-97.836736,David,6,8
POSS CONTROLLED SUB/NARCOTIC,drugs,2007,Evening,2007-04-24 20:20:00,2007-04-24 20:20:00,RESIDENCE / HOME,4530023132.0,30.2253461,-97.7324983,Henry,2,3
THEFT,theft,2012,Night,2012-02-26 23:45:00,2012-02-26 23:45:00,RESIDENCE / HOME,4530015032.0,30.3355469,-97.7153918,Ida,8,4
THEFT,theft,2019,Morning,2019-10-03 08:59:00,2019-10-03 08:59:00,SPECIALTY  STORE,4530014011.0,30.2451057,-97.7478799,Henry,1,9
DWI,traffic,2020,Morning,2020-11-22 05:06:00,2020-11-22 05:06:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530013071.0,30.2310665,-97.7712704,David,2,3
FAMILY DISTURBANCE,family,2012,Night,2012-03-12 23:00:00,2012-03-13 15:51:00,RESIDENCE / HOME,4530318002.0,30.1845976,-97.8227741,Frank,1,5
BURGLARY OF VEHICLE,theft,2010,Afternoon,2010-05-05 13:20:00,2010-05-05 15:20:00,COMMERCIAL / OFFICE BUILDING,4530009024.0,30.2619393,-97.7293714,Charlie,1,3
DWI,traffic,2014,Night,2014-08-28 02:11:00,2014-08-28 02:11:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530013111.0,30.2582419,-97.7524205,David,1,9
BURGLARY OF RESIDENCE,burglary,2016,Morning,2016-04-04 11:50:00,2016-04-04 16:40:00,RESIDENCE / HOME,4530432001.0,30.349891,-97.6957848,Edward,1,4
ASSAULT WITH INJURY,assault,2018,Afternoon,2018-07-29 16:27:00,2018-07-29 16:27:00,PARKING /DROP LOT/ GARAGE,4530024191.0,30.1954505,-97.7637023,Frank,8,2
AGG ASSAULT,aggravated assault,2023,Evening,2023-03-21 20:03:00,2023-03-21 20:03:00,GOVERNMENT / PUBLIC BUILDING,4530011021.0,30.2684664,-97.7492191,George,1,9
BURGLARY OF VEHICLE,theft,2012,Night,2012-06-24 22:00:00,2012-06-25 23:03:00,PARKING /DROP LOT/ GARAGE,4530004012.0,30.2933071,-97.7248275,Baker,1,9
THEFT OF TRAILER,theft,2023,Night,2023-05-13 04:37:00,2023-05-16 08:25:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530020031.0,30.2192206,-97.7781233,David,3,3
HARASSMENT,abuse,2009,Morning,2009-01-23 10:00:00,2009-01-23 10:20:00,RESIDENCE / HOME,4530416002.0,30.3696159,-97.6737757,Edward,7,1
FAMILY DISTURBANCE/PARENTAL,family,2005,Night,2005-10-18 21:06:00,2005-10-18 21:06:00,RESIDENCE / HOME,4530022221.0,30.3026235,-97.6360779,Charlie,7,1
BURGLARY OF VEHICLE,theft,2004,Evening,2004-07-19 19:00:00,2004-07-20 09:40:00,PARKING /DROP LOT/ GARAGE,4530013122.0,30.2452677,-97.7539204,David,1,3
DISTURBANCE - OTHER,disturbance,2009,Evening,2009-05-17 19:40:00,2009-05-17 19:40:00,RESIDENCE / HOME,4530024411.0,30.1814813,-97.7698558,Frank,8,2
POSS OF DRUG PARAPHERNALIA,drugs,2007,Night,2007-09-18 21:50:00,2007-09-18 21:50:00,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4530023101.0,30.2133021,-97.6534621,Henry,8,2
FAMILY DISTURBANCE,family,2018,Evening,2018-04-24 17:59:00,2018-04-24 17:59:00,RESIDENCE / HOME,4530019131.0,30.3185118,-97.8071485,Baker,7,8
GRAFFITI,nuisance,2009,Evening,2009-02-24 20:00:00,2009-02-25 14:04:00,RESIDENCE / HOME,4910204042.0,30.4528785,-97.816709,Adam,6,6
ASSAULT W/INJURY-FAM/DATE VIOL,assault,2014,Night,2014-09-25 23:10:00,2014-09-25 23:10:00,RESIDENCE / HOME,4530437001.0,30.392312,-97.6673246,Edward,7,1
CRIMINAL MISCHIEF,property,2023,Night,2023-08-26 01:10:00,2023-08-26 01:16:00,RESIDENCE / HOME,4530006063.0,30.2894014,-97.746111,Baker,3,9
